,Phone Name,RAM,ROM,Back Camera,Front_Camera,Battery,Processor,Price
865,"Redmi Note 7S (Sapphire Blue, 64 GB)",4,64,48,13,4000 mAh,Qualcomm Snapdragon 660 AIE Processor,"₹13,999"
866,"Mi 10T Pro (Cosmic Black, 128 GB)",8,128,108,20,5000 mAh,Qualcomm Snapdragon 865 Processor,"₹38,849"
867,"Redmi Y2 (Dark Grey, 64 GB)",4,64,12,16,3080 mAh,Qualcomm Snapdragon 625 Processor,"₹13,600"
868,"Redmi 8A (Sunset Red, 32 GB)",2,32,12,8,5000 mAh,Qualcomm Snapdragon 439 Processor,"₹7,999"
869,"Xiaomi 11Lite NE (Jazz Blue, 128 GB)",8,128,64,20,4250 mAh,Qualcomm Snapdragon 778G Processor,"₹26,999"
870,"Redmi 9A (Nature Green, 32 GB)",3,32,13,5,5000 mAh,MediaTek Helio G25 Processor,"₹9,399"
871,"Redmi 8A Dual (Midnight Grey, 32 GB)",3,32,13,8,5000 mAh,Qualcomm Snapdragon 439 Processor,"₹8,999"
872,"Redmi 7A (Matte Blue, 32 GB)",2,32,12,5,4000 mAh,Qualcomm Snapdragon 439 Processor,"₹6,999"
873,"Redmi Go (Blue, 8 GB)",1,8,8,5,3000 mAh,Qualcomm Snapdragon 425 Processor,"₹5,999"
874,"Redmi 4A (Gold, 32 GB)",3,32,13,5,3120 mAh,Qualcomm Snapdragon 425 1.4 GHz Processor,"₹6,999"
875,"Redmi K20 (Carbon Black, 64 GB)",6,64,48,20,4000 mAh,Qualcomm Snapdragon 730 Processor,"₹22,999"
876,"Redmi 6 (Gold, 32 GB)",3,32,12,5,3000 mAh,2.0 GHz Mediatek P22 Octacore Processor,"₹8,999"
877,"Redmi Note 7 (Ruby Red, 32 GB)",3,32,12,13,4000 mAh,Qualcomm Snapdragon 660 AIE Processor,"₹12,999"
878,"Redmi K20 (Flame Red, 64 GB)",6,64,48,20,4000 mAh,Qualcomm Snapdragon 730 Processor,"₹22,999"
879,"Mi A3 (Not just Blue, 64 GB)",4,64,48,32,4030 mAh,Qualcomm Snapdragon 665 Processor,"₹14,999"
880,"Redmi 6A (Rose Gold, 16 GB)",2,16,13,5,3000 mAh,1 Year Manufacturer Warranty,"₹6,485"
881,"Mi 11 Lite (Tuscany Coral, 128 GB)",6,128,64,16,4250 mAh,Qualcomm Snapdragon 732G Processor,"₹21,999"
882,"Mi 11 Lite (Tuscany Coral, 128 GB)",8,128,64,16,4250 mAh,Qualcomm Snapdragon 732G Processor,"₹18,999"
883,"Xiaomi 11i 5G (Pacific Pearl, 128 GB)",6,128,108,16,5160 mAh,Mediatek Dimensity 920 Processor,"₹24,999"
884,"10A (Black, 64 GB)",4,64,13,5,5000 mAh,Mediatek Helio G25 Processor,"₹9,999"
885,"Redmi 7 (Comet Blue, 32 GB)",3,32,12,8,4000 mAh,Qualcomm Snapdragon 632 Processor,"₹8,999"
886,"Redmi 7 (Eclipse Black, 32 GB)",3,32,12,8,4000 mAh,Qualcomm Snapdragon 632 Processor,"₹8,799"
